player_name,Team,Position,Class,Height,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels...42,offensive_duels...43,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes...56,forward_passes...57,back_passes...58,back_passes...59
Akinjide Awujo,Northwestern,F,R-Sr.,6' 0'',922,514,222,2,0,20,6,161,112,9,5,15,0,31,17,270,101,37,15,20,113,27,28,17,59,0,61,34,28,8,1,1,5,14,1,0,7,144,44,33,4,13,20,0,0,0,23,17,13,8,108,43,29,30,26
Brandon Clagette,Northwestern,D,Gr.,5' 8'',1120,505,242,2,0,22,6,203,138,25,9,29,8,29,22,204,96,39,13,20,131,18,43,19,70,0,55,36,28,13,1,1,11,13,1,0,6,82,34,35,4,12,12,1,0,0,33,24,23,9,135,56,35,40,34
Bryce LeBel,Northwestern,D,Gr.,5' 11'',674,404,286,0,0,1,0,298,237,47,24,3,0,0,0,74,43,19,11,19,64,27,73,23,67,0,36,25,8,4,1,0,10,4,3,0,1,11,3,1,0,2,6,0,0,0,41,22,7,2,178,133,88,32,30
Bryant Mayer,Northwestern,D,So.,6' 1'',1543,1065,662,0,5,3,0,610,447,91,36,32,16,13,5,345,196,98,53,73,242,74,186,42,114,0,154,110,41,17,16,8,41,24,2,0,10,52,16,16,0,13,9,4,1,0,128,74,43,21,369,294,187,69,63
Collin McCamy,Northwestern,M,Sr.,6' 2'',1453,939,597,1,1,27,6,453,351,55,23,14,6,30,17,315,181,72,39,48,179,68,104,51,45,0,113,81,36,17,0,0,15,15,1,0,19,94,44,9,0,13,12,7,1,0,80,41,27,12,282,172,109,87,85
Christopher Thaggard,Northwestern,F,Jr.,5' 10'',609,344,122,1,1,7,2,72,44,3,1,11,2,32,14,202,73,24,9,7,74,14,18,12,0,0,37,25,14,4,0,0,2,16,0,0,3,127,35,18,6,15,10,0,0,0,8,7,11,6,49,22,13,14,9
Danh Tran,Northwestern,M,Sr.,5' 11'',135,80,54,0,0,0,0,49,38,8,5,0,0,4,2,24,13,1,1,4,10,3,7,3,0,0,9,6,2,2,0,0,0,2,0,0,0,12,4,1,0,1,2,0,0,0,12,10,3,2,33,19,13,6,5
Fritz Volmar,Northwestern,D,So.,6' 0'',940,513,269,0,0,6,0,231,157,41,19,27,8,23,15,206,106,27,12,49,100,37,78,23,72,0,91,60,20,6,5,3,15,12,1,0,2,68,28,9,0,10,9,4,1,0,44,28,22,7,146,108,68,28,24
Henri Richter,Northwestern,M,Jr.,6' 0'',79,68,56,0,0,0,0,48,43,6,6,0,0,0,0,13,10,4,3,5,11,6,8,0,0,0,5,5,1,0,0,0,1,0,0,0,0,3,2,0,0,1,2,0,0,0,4,2,1,0,30,19,15,2,2
Italo Addimandi,Northwestern,F,So.,5' 10'',554,357,187,2,0,13,5,166,124,10,2,8,5,17,8,144,58,25,9,18,76,15,38,20,0,0,36,23,11,6,0,0,2,8,0,0,9,72,20,19,2,7,6,0,0,1,16,10,13,8,92,45,24,34,32
Ibrahim Obeid,Northwestern,D,Sr.,6' 0'',47,21,6,0,0,0,0,10,6,2,2,1,0,1,0,8,0,1,0,1,5,3,3,1,0,0,5,0,1,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,5,6,4,0,0
Jason Gajadhar,Northwestern,M,Jr.,5' 10'',147,111,75,1,0,2,1,76,61,11,7,1,0,4,1,25,12,1,1,7,20,8,18,7,0,0,11,7,3,1,1,0,1,2,0,0,3,10,3,3,0,0,1,3,2,0,16,10,4,0,51,34,23,14,14
Joe Suchecki,Northwestern,M,Gr.,6' 4'',1106,677,420,1,0,16,2,407,309,82,39,5,3,10,8,168,95,42,21,46,124,46,99,52,52,0,70,48,21,8,2,1,25,19,1,0,6,35,18,11,0,5,7,7,2,0,97,52,23,15,238,172,104,62,61
Jayvin Van Deventer,Northwestern,M,Jr.,5' 9'',812,437,265,0,0,7,3,230,178,20,9,11,5,28,14,169,84,28,12,24,74,18,55,31,47,0,46,31,13,6,1,1,3,6,1,0,7,82,35,13,0,17,10,2,1,1,40,25,15,5,116,73,48,62,59
Luke Shreiner,Northwestern,D,Fy.,6' 4'',373,265,180,0,0,3,0,168,132,26,10,5,1,6,4,67,43,16,11,27,50,18,41,8,0,0,29,23,4,1,0,0,10,3,0,0,1,18,8,9,0,2,1,1,0,0,30,13,5,1,104,68,46,19,19
Michael Ramirez,Northwestern,F,Fy.,5' 10'',379,214,109,0,0,4,2,98,68,8,5,11,3,19,10,85,36,3,0,7,54,10,20,14,157,0,35,21,2,0,1,0,2,4,2,0,4,45,15,7,0,7,4,4,1,0,15,10,18,4,62,34,18,23,21
Nigel Prince,Northwestern,D,Jr.,6' 2'',1671,1163,805,2,0,8,4,711,592,102,50,1,1,7,5,332,191,131,75,101,178,94,230,26,176,0,109,76,41,21,9,6,52,23,4,0,1,51,19,12,1,6,10,3,0,0,75,45,8,3,419,309,227,32,28
Peter Riesz,Northwestern,M,So.,6' 3'',287,175,78,1,0,11,4,58,39,2,2,3,1,4,4,63,35,22,10,8,44,7,12,10,0,0,19,15,10,2,1,1,5,5,0,0,0,12,8,10,0,1,4,0,0,1,8,6,4,1,38,19,10,8,6
Paul Son,Northwestern,M,Sr.,5' 10'',758,449,213,1,0,11,2,198,128,18,6,32,12,39,26,175,78,21,7,27,103,20,42,29,165,0,48,32,17,6,0,0,2,13,2,0,6,89,33,16,1,24,6,5,1,0,37,16,28,14,124,73,39,36,33
Reese Mayer,Northwestern,D,Gr.,6' 2'',1289,842,600,0,0,3,1,581,464,115,57,5,1,3,0,177,109,78,48,71,168,65,166,24,218,0,51,40,22,10,1,0,37,7,3,0,6,26,11,2,0,9,14,6,1,0,103,57,14,5,346,285,194,31,30
Rafael Ponce de León,Northwestern,GK,Jr.,6' 3'',1595,504,375,0,0,0,0,340,289,96,49,1,0,0,0,20,15,10,9,24,70,14,62,0,0,0,5,3,5,3,0,0,11,0,0,0,0,0,0,1,0,0,6,2,1,0,33,14,1,0,199,126,77,0,0
Thaddaeus Dewing,Northwestern,F,Gr.,5' 11'',824,435,187,1,1,15,5,145,100,9,3,2,0,9,6,211,82,58,19,15,97,18,29,19,0,0,45,26,23,14,4,2,7,19,0,0,10,85,23,24,5,4,10,0,0,0,11,7,7,2,71,35,13,39,34
Tyler Glassberg,Northwestern,M,So.,6' 0'',984,606,307,2,0,11,8,278,182,43,15,31,12,23,15,225,111,50,20,41,129,38,68,19,83,0,89,55,24,11,0,0,19,21,2,0,8,62,25,14,2,17,6,6,1,0,63,32,32,16,179,115,58,48,43
Allan Legaspi,UCLA,D,Fr.,5’ 9’',1105,931,721,0,0,0,0,752,640,107,50,7,3,4,2,119,66,15,8,47,113,50,89,18,0,0,72,47,9,4,1,1,22,6,0,0,1,23,7,0,0,8,5,4,2,0,127,81,22,8,594,320,233,52,49
Amjot Narang,UCLA,MF,Jr.,6’ 1’',310,225,172,0,0,2,1,148,135,6,4,0,0,3,1,54,34,5,3,13,26,9,32,14,0,0,26,20,3,3,3,2,4,2,0,0,2,20,8,2,0,6,6,2,0,0,22,18,3,2,108,33,24,26,25
Andre Ochoa,UCLA,F,Sr.,5' 9’',1422,941,623,2,0,23,10,617,502,52,27,16,4,26,14,236,106,34,16,25,170,37,70,42,140,0,75,46,24,8,3,1,4,13,2,0,14,103,36,33,4,22,12,8,2,0,79,48,31,11,458,146,88,148,139
Artem Vovk,UCLA,F,Fr.,5’ 9’',344,165,67,3,0,16,6,59,38,3,0,3,0,13,6,67,22,13,2,4,49,14,10,7,0,0,19,11,3,0,0,0,0,6,0,0,1,32,9,20,1,4,2,0,0,0,5,3,4,1,43,7,3,19,15
Cam Wilkerson,UCLA,MF,Jr.,6' 0'',500,370,234,0,1,14,2,222,185,15,9,6,1,5,5,102,44,18,10,11,59,20,33,15,99,0,32,17,16,6,0,0,2,14,2,0,3,36,11,3,0,9,5,5,2,0,37,25,14,5,185,57,34,53,53
Edrey Caceres,UCLA,MF,Gr.,5’ 6’’,1390,1148,881,6,0,24,10,877,772,71,41,7,0,14,9,158,76,14,4,36,139,44,87,42,88,0,75,42,16,8,0,0,8,14,1,0,17,53,22,16,0,5,9,12,3,1,133,107,41,21,717,241,183,135,132
Jose Contell,UCLA,F,R-Sr.,5' 9'',1112,771,400,5,0,28,14,306,240,4,2,24,2,50,28,341,142,73,30,19,161,34,45,28,325,0,71,49,37,9,11,7,4,20,5,0,12,160,54,67,10,32,10,0,0,0,21,16,14,5,199,51,36,100,96
Jacob Diaz,UCLA,F,So.,6' 1'',158,86,50,1,1,4,2,40,31,2,2,2,0,2,2,29,16,6,4,5,15,5,12,7,0,0,7,5,3,1,1,0,0,3,0,0,1,13,6,7,3,2,1,2,2,0,2,1,2,1,24,5,5,11,9
Nicholas Cavallo,UCLA,D,Gr.,6' 1'',1618,999,711,1,1,4,1,690,567,69,29,43,26,15,9,229,128,43,24,50,180,79,118,32,116,0,95,65,18,8,3,0,26,7,2,0,17,73,31,17,0,37,14,7,2,1,83,51,50,26,529,220,142,152,150
Nikolai Rojel,UCLA,F,Jr.,6' 2'',346,133,65,3,1,10,3,55,39,1,1,1,1,7,3,53,21,4,2,3,22,7,6,4,65,0,12,8,10,5,1,0,2,4,1,0,3,27,6,15,1,4,1,0,0,0,3,2,3,1,31,14,6,16,14
Pietro Grassi,UCLA,D,Sr.,6' 1'',1623,1482,1225,0,0,4,1,1200,1090,88,44,1,0,8,6,183,110,48,26,59,123,71,151,13,0,0,99,68,20,6,4,2,41,12,0,0,0,16,10,6,0,20,5,7,0,1,116,83,5,0,967,413,331,78,72
Pablo Greenlee,UCLA,D,Sr.,5' 11'',989,824,603,0,1,5,3,574,483,36,16,29,15,19,13,187,100,34,18,56,132,52,114,31,0,0,69,50,18,6,6,6,18,3,0,0,3,66,26,13,0,33,13,1,1,1,50,35,31,16,418,166,115,147,139
Philip Naef,UCLA,D,So.,5' 11'',691,428,247,1,5,14,5,212,162,12,6,24,9,33,20,159,78,16,7,13,74,16,34,19,87,0,38,22,12,6,0,0,8,10,1,0,17,93,43,29,2,34,7,3,1,0,11,8,17,11,146,40,24,63,56
Sveinn Hauksson,UCLA,MF/F,Gr.,6' 2'',818,495,252,3,1,20,7,211,165,10,6,15,4,20,12,204,78,30,12,24,87,21,38,22,0,0,51,30,36,10,2,0,2,17,0,0,7,87,26,30,4,20,8,2,0,0,22,19,17,10,147,34,24,65,57
Sam Joseph,UCLA,GK,Jr.,6' 4'',501,233,192,0,0,0,0,173,157,54,41,0,0,0,0,6,4,4,3,9,26,10,22,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,4,2,0,16,10,0,0,121,87,75,0,0
Shakir Nixon,UCLA,D,Fr.,5' 11'',1034,717,470,1,0,5,1,419,330,32,16,64,25,37,25,236,131,24,12,21,119,30,65,19,52,0,90,61,13,5,4,1,10,11,1,0,10,109,53,23,7,49,15,2,1,2,46,36,49,22,327,97,72,79,74
Sam Scott,UCLA,F,So.,6' 0'',74,34,19,1,0,3,1,15,13,1,1,4,2,5,3,13,4,1,1,1,8,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,10,3,4,1,2,1,0,0,0,0,0,2,1,13,2,1,6,6
Tarun Karumanchi,UCLA,MF,Jr.,5' 11'',1427,1293,964,0,0,10,4,859,769,47,20,4,2,12,6,314,181,36,21,75,140,66,169,67,232,0,172,121,38,18,8,5,20,22,3,0,2,68,21,5,0,16,13,8,2,0,99,73,14,4,629,198,141,112,111
Tamir Ratoviz,UCLA,MF,Fr.,5' 11'',729,589,390,2,4,9,4,351,297,6,3,7,1,19,13,182,87,14,5,22,84,26,58,25,160,0,67,34,19,12,2,1,2,19,2,0,8,82,36,14,0,13,16,1,0,1,50,43,16,9,254,78,56,60,57
Tre Wright,UCLA,D,So.,6' 2'',56,21,12,0,0,0,0,12,8,2,0,0,0,1,0,8,4,2,2,1,5,1,5,2,0,0,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,7,6,2,4,4
Wyatt Nelson,UCLA,GK,So.,6' 3'',1121,438,344,0,0,0,0,334,287,91,49,0,0,0,0,11,8,6,4,9,53,18,50,0,137,0,1,0,3,3,1,0,2,1,2,0,0,1,1,0,0,0,5,1,0,0,25,12,0,0,207,168,125,0,0
Youri Senden,UCLA,D,Gr.,6' 2'',1331,1282,1077,0,1,1,1,1048,956,98,48,0,0,0,0,170,106,54,32,44,116,58,140,18,111,0,83,58,11,7,3,1,28,8,2,0,1,22,9,2,0,12,4,6,1,0,97,63,4,1,850,342,269,27,26